"week","store","brand","volume","price","promo","wpr"
69,5,5,15460,0.0507406209573092,0.866429495472186,0.041699018305304
69,8,5,9640,0.0493288381742739,0.892634854771784,0.0418543467842324
69,14,5,15170,0.0496183256427159,0.939024390243902,0.0415575753460778
69,21,5,9140,0.0503730853391685,0.949124726477024,0.0421392705689278
69,32,5,14405,0.0502367233599445,0.891010065949323,0.0413590871225269
69,33,5,2830,0.0536749116607774,0.72791519434629,0.0456196989399293
69,45,5,5780,0.0495311418685121,0.896193771626298,0.0406125607266436
69,50,5,5280,0.0484147727272727,0.935606060606061,0.0410825996212121
69,52,5,18540,0.0482578209277238,0.914778856526429,0.040586867583603
69,53,5,6545,0.0485943468296409,0.955691367456073,0.0410474993124523
69,54,5,9160,0.0498941048034934,0.862991266375546,0.0417669871179039
69,56,5,8290,0.0487141133896261,0.87816646562123,0.0410070723763571
69,62,5,21505,0.0503957219251337,0.874680306905371,0.0415653904208324
69,67,5,9240,0.048284632034632,0.888528138528139,0.0415791329004329
69,70,5,8995,0.0493451917732073,0.933852140077821,0.0414092677042802
69,72,5,8945,0.0489077697037451,0.955841252096143,0.0416462457238681
69,74,5,7800,0.0499871794871795,0.91025641025641,0.0421237037179487
69,75,5,2980,0.0480536912751678,0.86241610738255,0.0400137765100671
69,76,5,2685,0.0505921787709497,0.828677839851024,0.0419119173184358
69,77,5,14705,0.0502407344440666,0.902074124447467,0.0418832331859912
69,78,5,16290,0.0489803560466544,0.934622467771639,0.0416413895641498
69,80,5,18895,0.050109023551204,0.938343477110347,0.0420427740142895
69,83,5,8235,0.0502258652094718,0.85853066180935,0.0420638499089253
69,84,5,13155,0.0503975674648423,0.890916001520334,0.0412883358418852
69,86,5,5190,0.0502678227360308,0.864161849710983,0.0417714032755299
69,88,5,8245,0.0479187386294724,0.915100060642814,0.0411405516070346
69,90,5,2160,0.0461157407407407,0.837962962962963,0.0398713347222222
69,91,5,7360,0.0501263586956522,0.911684782608696,0.0427143077445652
69,92,5,7630,0.0493302752293578,0.907601572739187,0.0419545917431193
69,93,5,10785,0.0499221140472879,0.893834028743625,0.0421386144645341
69,95,5,2740,0.0493357664233577,0.906934306569343,0.0405542489051095
69,97,5,5010,0.0465568862275449,0.976047904191617,0.0409078275449102
69,100,5,3790,0.048957783641161,0.891820580474934,0.0413521224274406
69,101,5,12020,0.0499792013311148,0.873544093178037,0.0426137425124792
69,106,5,4590,0.0450021786492375,0.898692810457516,0.0397616283224401
69,107,5,14820,0.0494831309041835,0.897435897435897,0.0423449300944669
69,111,5,2005,0.046783042394015,0.897755610972569,0.0394448354114713
69,113,5,9385,0.0493905167820991,0.898241875332978,0.041110389984017
69,118,5,6965,0.0500660445082556,0.93610911701364,0.0416813854989232
69,119,5,7860,0.0483333333333333,0.888676844783715,0.0405429162849873
69,121,5,17185,0.0496526040151295,0.872563281931917,0.0415344211230724
69,122,5,19775,0.0502022756005057,0.882427307206068,0.0418610832364096
69,123,5,4675,0.0506438502673797,0.780748663101604,0.0412197328342246
