id,asthma,pm10,hoval,apt_rate,pop_den
133,566,39.3099,2173.043,40.32,15902
134,566,39.3099,2173.043,95.13,24778
135,305,39.3099,2161.278,3.97,22016
136,458,39.3099,2161.278,43.08,31982
137,484,39.3099,2161.278,3.9,28141
138,454,39.3099,2403.983,34.16,33549
139,454,39.3099,2403.983,14.42,33719
140,554,39.3099,2403.983,17.43,27867
141,451,39.3099,2403.983,19.94,36697
142,642,39.3099,2183.494,99.26,55713
143,508,39.3099,1421.754,16.08,1985
144,289,39.3099,2161.278,8.9,11579
145,487,44.7532,2161.278,28.23,18000
146,353,44.7532,2161.278,49.71,40235
147,398,44.7532,2161.278,38.52,37534
148,398,44.7532,2161.278,91.99,41919
149,408,44.7532,2161.278,56.78,47026
150,425,44.7532,2161.278,0.87,32374
151,853,44.7532,2161.278,95.45,12161
152,384,44.7532,2243.874,83.99,32569
153,384,44.7532,2243.874,40.42,29644
154,384,44.7532,2243.874,33.4,24013
155,384,44.7532,2243.874,99.81,32184
156,384,44.7532,2243.874,82.24,39877
157,346,44.7532,1849.252,18.87,2825
158,346,44.7532,1849.252,91.16,37847
159,479,42.5252,1754.165,58.89,20143
160,513,42.5252,1754.165,91.4,15814
161,702,42.5252,1754.165,99.5,30757
162,669,42.5252,2048.456,87.58,6930
163,424,42.5252,1669.231,90.66,19921
164,424,42.5252,1669.231,100,50812
165,424,42.5252,1897.993,73.63,15234
166,343,42.5252,1897.993,99.9,48395
167,343,42.5252,1897.993,94.08,25110
168,461,42.5252,2549.713,86.58,7893
169,340,42.5252,2549.713,69.96,37043
170,329,42.5252,2549.713,58.19,55450
171,1071,42.5252,2549.713,100,40927
172,849,42.5252,2549.713,99.99,30637
173,692,42.5252,2549.713,100,25889
174,607,42.5252,2048.456,72.43,6988
175,339,42.5252,2549.713,48.51,33516
176,435,42.5252,2549.713,99.98,24951
177,343,42.5252,1897.993,99.6,28691
178,719,46.5471,2655.041,14.91,18692
179,402,46.5471,2679.892,50.08,13477
180,656,46.5471,2696.767,11.3,27308
181,656,46.5471,2696.767,19.41,30107
182,443,46.5471,2130.238,31.26,24813
183,458,46.5471,3495.18,7.66,37751
184,439,46.5471,2698.713,24.04,26901
185,331,46.5471,2698.713,10.01,33756
186,420,46.5471,2241.5,31.67,33724
187,420,46.5471,2241.5,39.03,23224
188,613,46.5471,2897.746,33.38,26362
189,532,46.5471,2822.847,41.52,15290
190,402,46.5471,1067.288,98.86,4313
191,612,46.5471,2679.892,9.61,22148
192,369,46.5471,2698.713,12.28,44283
193,338,46.5471,2576.429,10.36,42502
194,501,46.4995,2544.706,86.04,21090
195,481,46.4995,2536.297,50.91,22635
196,564,46.4995,2536.297,46.04,24746
197,623,46.4995,2536.297,84.18,15025
198,446,46.4995,1826.854,52.94,16929
199,446,46.4995,1826.854,30.84,14612
200,432,46.4995,2614.286,68.34,8245
201,575,46.4995,2614.286,48.5,39708
202,1152,46.4995,2277.397,52.88,31606
203,974,46.4995,2277.397,22.9,40362
204,383,46.4995,2386.814,26.43,19212
205,503,46.4995,3449.793,40.96,24407
206,366,46.4995,1897.143,24.99,8208
207,583,46.4995,2090.977,27.12,14236
208,825,50.9564,3513.333,79.02,23015
209,268,50.9564,4121.299,26.01,18056
210,324,50.9564,3769.041,40.02,41970
211,420,50.9564,2977.404,59.01,28511
212,353,50.9564,4313.885,14.95,17873
213,317,50.9564,3705.102,13.01,12192
214,322,50.9564,2852.414,19.46,21521
215,319,50.9564,2852.414,39.1,31866
216,343,50.9564,2478.095,19.59,31157
217,405,50.9564,2706.863,8.41,26715
218,357,50.9564,2706.863,79.21,19773
219,516,50.9564,3183.561,94.59,4004
220,434,50.9564,5115.238,86.24,38257
221,335,50.9564,3478.714,60.24,17666
222,458,50.9564,3565.435,47.19,36773
223,474,50.9564,4319.756,61.79,25586
224,509,42.7365,3398.542,94.61,23631
225,578,42.7365,3398.542,33.05,31022
226,409,42.7365,3398.542,33.76,43830
227,442,42.7365,3398.542,44.53,50460
228,295,42.7365,2281.7,25,13928
229,448,42.7365,2281.7,40.25,32483
230,265,42.7365,2281.7,26.34,29498
231,432,42.7365,2281.7,61.48,22143
232,352,42.7365,2281.7,30.27,31496
233,291,42.7365,2281.7,39.01,18886
234,291,42.7365,2281.7,39.34,61488
235,524,42.7365,3264.464,81.19,17229
236,698,42.7365,3264.464,87.44,32334
237,431,42.7365,3264.464,78.23,112238
238,550,42.7365,3264.464,100,9969
239,484,42.7365,3264.464,98.35,32909
240,490,42.7365,3398.542,99.98,47639
241,332,42.7365,3264.464,22.99,31090
242,551,50.1293,3799.229,91.08,24537
243,485,50.1293,3555.471,72.82,38485
244,568,50.1293,3555.471,46.6,24189
245,568,50.1293,3555.471,99.11,47457
246,422,50.1293,2569.507,5.19,33339
247,707,50.1293,2569.507,7.48,43960
248,525,50.1293,2569.507,58,47573
249,395,50.1293,2569.507,13.78,28543
250,422,50.1293,2569.507,42.09,22924
251,422,50.1293,2569.507,8.72,52347
252,512,50.1293,3554.306,88.26,4399
253,512,50.1293,3554.306,99.97,17967
254,512,50.1293,3554.306,100,19037
255,496,50.1293,1500,73.96,11239
256,336,50.1293,2489.192,16.01,2061
257,439,50.1293,2723.768,65.14,29957
258,419,50.1293,2723.768,55.33,4073
259,419,50.1293,2723.768,93.3,11546
260,359,50.1293,2569.507,24.47,46745
261,496,50.1293,2909.242,71.98,29300
262,761,48.8134,2918.605,94.9,26107
263,494,48.8134,2937.005,99.57,22863
264,344,48.8134,2937.005,66.78,28380
265,345,48.8134,2937.005,52.99,66283
266,438,48.8134,2937.005,78.65,34249
267,399,48.8134,2301.816,80.62,22128
268,430,48.8134,2301.816,59.95,30951
269,291,48.8134,2470.656,68.36,43916
270,372,48.8134,2470.656,42.42,27858
271,262,48.8134,2438.52,61.64,36573
272,312,48.8134,2438.52,45.2,8886
273,295,48.8134,1724.667,19.93,9730
274,321,48.8134,3731.892,5.42,50898
275,361,48.8134,2937.005,29.34,22488
276,347,48.8134,2470.656,48.08,26534
277,392,42.9063,2294.714,55.72,9560
278,364,42.9063,2140.166,84.17,17116
279,426,42.9063,2140.166,4.42,39426
280,247,42.9063,2140.166,29.22,34513
281,300,42.9063,2140.166,14.62,34527
282,283,42.9063,2157.609,47.57,22448
283,699,42.9063,2157.609,96.5,20029
284,270,42.9063,2157.609,10.19,11982
285,563,42.9063,2157.609,34.31,28174
286,643,42.9063,2157.609,37.75,17341
287,649,50.046,7836.4,99.97,4091
288,403,50.046,3611.273,76.34,28328
289,637,50.046,3611.273,88.61,22217
290,577,50.046,3256.095,75.6,20064
291,449,50.046,3256.095,83.41,7505
292,349,50.046,3059.619,30.88,36080
293,429,50.046,3059.619,42.44,37054
294,355,50.046,3059.619,44.85,39846
295,298,50.046,3059.619,20.43,41974
296,385,50.046,3059.619,61.04,36457
297,383,50.046,3059.619,66.87,24788
298,299,50.046,2478.534,31.63,40812
299,283,50.046,2478.534,22.75,46213
300,306,50.046,2478.534,62.61,31881
301,899,50.046,5038.101,57.9,27475
302,474,50.046,5038.101,57.95,16509
303,604,50.046,2564.655,26,24540
304,391,50.046,3195.33,95.67,21985
305,304,45.809,4349.521,5.47,25688
306,315,45.809,2786.321,61,28998
307,347,45.809,2529.938,59.72,27043
308,440,45.809,2529.938,16.44,41642
309,329,45.809,2529.938,10.36,40087
310,264,45.809,3206.509,6.28,30837
311,375,45.809,3206.509,58.16,28691
312,352,45.809,3206.509,28.32,40474
313,352,45.809,3206.509,47.33,27389
314,406,45.809,2834.286,68.05,26319
315,406,45.809,2595.789,76.62,46663
316,428,45.809,2595.789,59.74,20807
317,375,45.809,3893.902,42.21,21746
318,308,45.809,4349.521,77.68,22157
319,375,45.809,3206.509,73.75,10927
320,347,49.6586,3046.326,26.3,36340
321,357,49.6586,3046.326,82.73,21884
